Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,OT_Flag,Notes
"Fri, Jan 20, 2017",8:00 PM,Sacramento Kings,91,Memphis Grizzlies,107,Box Score,,
"Fri, Jan 20, 2017",8:00 PM,Brooklyn Nets,143,New Orleans Pelicans,114,Box Score,,
"Fri, Jan 20, 2017",7:00 PM,Milwaukee Bucks,96,Orlando Magic,112,Box Score,,
"Fri, Jan 20, 2017",7:00 PM,Portland Trail Blazers,92,Philadelphia 76ers,93,Box Score,,
"Sat, Jan 21, 2017",7:00 PM,Philadelphia 76ers,93,Atlanta Hawks,110,Box Score,,
"Sat, Jan 21, 2017",5:00 PM,Portland Trail Blazers,127,Boston Celtics,123,Box Score,OT,
"Sat, Jan 21, 2017",9:00 PM,Sacramento Kings,99,Chicago Bulls,102,Box Score,,
"Sat, Jan 21, 2017",7:00 PM,Brooklyn Nets,105,Charlotte Hornets,112,Box Score,,
"Sat, Jan 21, 2017",8:30 PM,San Antonio Spurs,118,Cleveland Cavaliers,115,Box Score,OT,
"Sat, Jan 21, 2017",9:00 PM,Los Angeles Clippers,98,Denver Nuggets,123,Box Score,,
"Sat, Jan 21, 2017",6:00 PM,Washington Wizards,112,Detroit Pistons,113,Box Score,,
"Sat, Jan 21, 2017",8:00 PM,Houston Rockets,119,Memphis Grizzlies,95,Box Score,,
"Sat, Jan 21, 2017",7:30 PM,Milwaukee Bucks,97,Miami Heat,109,Box Score,,
"Sat, Jan 21, 2017",7:30 PM,Phoenix Suns,107,New York Knicks,105,Box Score,,
"Sat, Jan 21, 2017",9:00 PM,Indiana Pacers,100,Utah Jazz,109,Box Score,,
"Sun, Jan 22, 2017",3:30 PM,Los Angeles Lakers,73,Dallas Mavericks,122,Box Score,,
"Sun, Jan 22, 2017",7:00 PM,Denver Nuggets,108,Minnesota Timberwolves,111,Box Score,,
"Sun, Jan 22, 2017",12:00 PM,Golden State Warriors,118,Orlando Magic,98,Box Score,,
"Sun, Jan 22, 2017",6:00 PM,Phoenix Suns,115,Toronto Raptors,103,Box Score,,
"Mon, Jan 23, 2017",7:30 PM,Los Angeles Clippers,115,Atlanta Hawks,105,Box Score,,
"Mon, Jan 23, 2017",7:30 PM,San Antonio Spurs,112,Brooklyn Nets,86,Box Score,,
"Mon, Jan 23, 2017",7:00 PM,Washington Wizards,109,Charlotte Hornets,99,Box Score,,
"Mon, Jan 23, 2017",7:30 PM,Sacramento Kings,109,Detroit Pistons,104,Box Score,,
"Mon, Jan 23, 2017",8:00 PM,New York Knicks,109,Indiana Pacers,103,Box Score,,
"Mon, Jan 23, 2017",7:30 PM,Golden State Warriors,102,Miami Heat,105,Box Score,,
"Mon, Jan 23, 2017",8:00 PM,Houston Rockets,114,Milwaukee Bucks,127,Box Score,,
"Mon, Jan 23, 2017",8:00 PM,Cleveland Cavaliers,122,New Orleans Pelicans,124,Box Score,,
"Mon, Jan 23, 2017",9:00 PM,Oklahoma City Thunder,97,Utah Jazz,95,Box Score,,
"Tue, Jan 24, 2017",9:00 PM,Utah Jazz,93,Denver Nuggets,103,Box Score,,
"Tue, Jan 24, 2017",7:00 PM,Chicago Bulls,100,Orlando Magic,92,Box Score,,
"Tue, Jan 24, 2017",7:00 PM,Los Angeles Clippers,110,Philadelphia 76ers,121,Box Score,,
"Tue, Jan 24, 2017",9:00 PM,Minnesota Timberwolves,112,Phoenix Suns,111,Box Score,,
"Tue, Jan 24, 2017",7:00 PM,San Antonio Spurs,108,Toronto Raptors,106,Box Score,,
"Tue, Jan 24, 2017",7:00 PM,Boston Celtics,108,Washington Wizards,123,Box Score,,
"Wed, Jan 25, 2017",7:30 PM,Houston Rockets,109,Boston Celtics,120,Box Score,,
"Wed, Jan 25, 2017",7:30 PM,Miami Heat,109,Brooklyn Nets,106,Box Score,,
"Wed, Jan 25, 2017",8:00 PM,Atlanta Hawks,119,Chicago Bulls,114,Box Score,,
"Wed, Jan 25, 2017",8:00 PM,Golden State Warriors,113,Charlotte Hornets,103,Box Score,,
"Wed, Jan 25, 2017",7:00 PM,Sacramento Kings,116,Cleveland Cavaliers,112,Box Score,OT,
"Wed, Jan 25, 2017",8:30 PM,New York Knicks,95,Dallas Mavericks,103,Box Score,,
"Wed, Jan 25, 2017",8:00 PM,Toronto Raptors,99,Memphis Grizzlies,101,Box Score,,
"Wed, Jan 25, 2017",8:00 PM,Philadelphia 76ers,114,Milwaukee Bucks,109,Box Score,,
"Wed, Jan 25, 2017",8:00 PM,Oklahoma City Thunder,114,New Orleans Pelicans,105,Box Score,,
"Wed, Jan 25, 2017",10:30 PM,Los Angeles Lakers,98,Portland Trail Blazers,105,Box Score,,
"Thu, Jan 26, 2017",9:00 PM,Phoenix Suns,120,Denver Nuggets,127,Box Score,,
"Thu, Jan 26, 2017",8:00 PM,Indiana Pacers,109,Minnesota Timberwolves,103,Box Score,,
"Thu, Jan 26, 2017",8:00 PM,Dallas Mavericks,98,Oklahoma City Thunder,109,Box Score,,
"Thu, Jan 26, 2017",10:30 PM,Los Angeles Lakers,88,Utah Jazz,96,Box Score,,
"Fri, Jan 27, 2017",8:00 PM,Washington Wizards,112,Atlanta Hawks,86,Box Score,,
"Fri, Jan 27, 2017",7:30 PM,Orlando Magic,98,Boston Celtics,128,Box Score,,
"Fri, Jan 27, 2017",8:00 PM,Miami Heat,100,Chicago Bulls,88,Box Score,,
